Order | Stepsize (1eX) | Bounds (1eX) | Integral | Error | NormConst 
2 | 6 | 5 | -0.133333 | -0.187283 | -7.5
2 | 6 | 6 | -1.33333 | -1.38728 | -0.75
2 | 6 | 7 | -13.3333 | -13.3873 | -0.075
2 | 6 | 8 | -133.333 | -133.387 | -0.0075
2 | 6 | 9 | -1333.33 | -1333.39 | -0.00075
2 | 6 | 10 | -13333.3 | -13333.4 | -7.5e-05
3 | 3 | -6 | 1.34498e-25 | 1.34498e-25 | 7.43508e+24
3 | 3 | -5 | 1.25887e-23 | 1.25887e-23 | 7.94366e+22
3 | 3 | -4 | 1.38966e-22 | 1.38966e-22 | 7.19599e+21
3 | 3 | -3 | 1.82112e-20 | 1.82112e-20 | 5.49112e+19
3 | 3 | -2 | -1.18449e-17 | -1.18449e-17 | -8.44245e+16
3 | 3 | -1 | -1.14972e-17 | -1.14972e-17 | -8.69776e+16
3 | 3 | 0 | -2.71401e-17 | -2.71401e-17 | -3.68459e+16
3 | 3 | 1 | 1.06322e-15 | 1.06322e-15 | 9.40539e+14
3 | 3 | 2 | -4.22987e-13 | -4.22987e-13 | -2.36414e+12
3 | 3 | 3 | 0 | 0 | inf
3 | 3 | 4 | 0 | 0 | inf
3 | 3 | 5 | 0 | 0 | inf
3 | 3 | 6 | 0 | 0 | inf
3 | 3 | 7 | 0 | 0 | inf
3 | 3 | 8 | 0 | 0 | inf
3 | 3 | 9 | 0 | 0 | inf
3 | 3 | 10 | 0 | 0 | inf
3 | 4 | -6 | -3.01156e-26 | -3.01156e-26 | -3.32054e+25
3 | 4 | -5 | -4.44286e-24 | -4.44286e-24 | -2.2508e+23
3 | 4 | -4 | 1.17046e-21 | 1.17046e-21 | 8.54365e+20
3 | 4 | -3 | 3.44028e-19 | 3.44028e-19 | 2.90674e+18
3 | 4 | -2 | 1.81917e-17 | 1.81917e-17 | 5.497e+16
3 | 4 | -1 | 4.91386e-17 | 4.91386e-17 | 2.03506e+16
3 | 4 | 0 | 2.25048e-17 | 2.25048e-17 | 4.44349e+16
3 | 4 | 1 | 1.67406e-15 | 1.67406e-15 | 5.9735e+14
3 | 4 | 2 | 9.95084e-15 | 9.95084e-15 | 1.00494e+14
3 | 4 | 3 | -2.53586e-12 | -2.53586e-12 | -3.94344e+11
3 | 4 | 4 | 0 | 0 | inf
3 | 4 | 5 | 0 | 0 | inf
3 | 4 | 6 | 0 | 0 | inf
3 | 4 | 7 | 0 | 0 | inf
3 | 4 | 8 | 0 | 0 | inf
3 | 4 | 9 | 0 | 0 | inf
3 | 4 | 10 | 0 | 0 | inf
3 | 5 | -6 | 8.19437e-26 | 8.19437e-26 | 1.22035e+25
3 | 5 | -5 | 1.08697e-23 | 1.08697e-23 | 9.19991e+22
3 | 5 | -4 | 3.23919e-22 | 3.23919e-22 | 3.08719e+21
3 | 5 | -3 | -9.97183e-20 | -9.97183e-20 | -1.00283e+19
3 | 5 | -2 | 3.28966e-19 | 3.28966e-19 | 3.03982e+18
3 | 5 | -1 | -6.14528e-17 | -6.14528e-17 | -1.62726e+16
3 | 5 | 0 | 3.40665e-17 | 3.40665e-17 | 2.93544e+16
3 | 5 | 1 | 1.37447e-16 | 1.37447e-16 | 7.27555e+15
3 | 5 | 2 | 2.32895e-14 | 2.32895e-14 | 4.29379e+13
3 | 5 | 3 | 1.62821e-16 | 1.62821e-16 | 6.14171e+15
3 | 5 | 4 | -4.05676e-11 | -4.05676e-11 | -2.46502e+10
3 | 5 | 5 | 0 | 0 | inf
3 | 5 | 6 | 0 | 0 | inf
3 | 5 | 7 | 0 | 0 | inf
3 | 5 | 8 | 0 | 0 | inf
3 | 5 | 9 | 0 | 0 | inf
3 | 5 | 10 | 0 | 0 | inf
